# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	1073
#@/user_id	ba10576e-7c67-46cc-9c5b-6d3419cac62d
a 	工	c=1 d=0.0403566 t=1073
abdw 	节奏	c=1 d=0.140156 t=1073
ag 	七	c=1 d=0.0391639 t=1073
alce 	功能	c=1 d=0.324652 t=1073
aqbc 	获取	c=1 d=0.12938 t=1073
av 	切	c=1 d=0.0144798 t=1073
avrq 	切换	c=1 d=0.0190377 t=1073
b 	了	c=22 d=4.8375 t=1073
bdsm 	随机	c=2 d=0.760084 t=1073
bmte 	出租	c=1 d=0.147342 t=1073
bn 	也	c=4 d=1.34315 t=1073
bnjg 	也是	c=2 d=0.94667 t=1073
btwq 	降低	c=1 d=0.145148 t=1073
butx 	联系	c=1 d=0.0702988 t=1073
cal 	劲	c=1 d=0.140858 t=1073
cc 	双	c=1 d=0.0437178 t=1073
cd 	参	c=1 d=0.00612731 t=1073
ce 	能	c=1 d=0.332871 t=1073
cep 	通	c=1 d=0.00625109 t=1073
cf 	对	c=1 d=0.141564 t=1073
cfru 	对接	c=1 d=0.0608101 t=1073
ck 	台	c=1 d=0.0605068 t=1073
d 	在	c=15 d=4.34524 t=1073
dd 	大	c=1 d=0.00673795 t=1073
dg 	三	c=1 d=0.0544757 t=1073
dm 	面	c=2 d=0.17217 t=1073
dmdm 	页面	c=7 d=0.955441 t=1073
dmu 	页	c=1 d=0.053397 t=1073
dmya 	面试	c=3 d=0.181656 t=1073
dqpu 	确实	c=1 d=0.00891518 t=1073
drgo 	原来	c=1 d=0.202909 t=1073
dy 	太	c=1 d=0.0066709 t=1073
dykh 	太贵	c=1 d=0.0432828 t=1073
dyqq 	太多	c=1 d=0.467666 t=1073
e 	有	c=10 d=3.56928 t=1073
ebtl 	服务	c=1 d=0.0629761 t=1073
eee 	月	c=1 d=0.120633 t=1073
epdc 	爱	c=1 d=0.860708 t=1073
et 	用	c=14 d=2.53705 t=1073
etyn 	用户	c=1 d=0.290835 t=1073
faqk 	域名	c=2 d=0.0553363 t=1073
fbyy 	地方	c=1 d=0.465334 t=1073
fcdy 	动态	c=1 d=0.0381969 t=1073
fcrf 	支持	c=1 d=0.0113902 t=1073
fcrh 	去年	c=2 d=0.245533 t=1073
fcu 	去	c=2 d=0.0495529 t=1073
fdsv 	需要	c=3 d=0.0341263 t=1073
fg 	二	c=1 d=0.0858632 t=1073
fgh 	十	c=1 d=0.839457 t=1073
fh 	直	c=1 d=0.00873865 t=1073
fhru 	直接	c=2 d=0.438305 t=1073
fiy 	求	c=1 d=1 t=13
fnuj 	违章	c=1 d=0.0587185 t=1073
fp 	过	c=3 d=0.329572 t=1073
fqtk 	远程	c=1 d=0.0566989 t=1073
ftjb 	都	c=5 d=0.946806 t=1073
fwaj 	规划	c=1 d=0.0515605 t=1073
g 	一	c=10 d=0.717787 t=1073
ga 	开	c=2 d=0.248182 t=1073
gant 	开发	c=3 d=0.464141 t=1073
gavc 	开始	c=2 d=0.861399 t=1073
gc 	到	c=1 d=0.99005 t=1073
gd 	天	c=1 d=0.115325 t=1073
gf 	于	c=1 d=0.404542 t=1073
gggg 	王	c=1 d=0.0265162 t=1073
ggsu 	一样	c=1 d=0.122456 t=1073
gh 	下	c=4 d=0.282506 t=1073
ghdm 	下面	c=1 d=0.00951391 t=1073
ghfa 	下载	c=1 d=0.99005 t=1073
ghgy 	下班	c=2 d=0.0514676 t=1073
gi 	不	c=20 d=3.01327 t=1073
gice 	不能	c=2 d=0.655839 t=1073
gifp 	不过	c=1 d=0.0413782 t=1073
gigc 	不到	c=1 d=0.0107269 t=1073
giim 	还没	c=1 d=0.357007 t=1073
gijg 	还是	c=1 d=0.136252 t=1073
gip 	还	c=8 d=1.84612 t=1073
giqk 	不够	c=1 d=0.180866 t=1073
gisv 	还要	c=1 d=0.0387742 t=1073
gitd 	不知	c=1 d=1 t=6
gjus 	更新	c=1 d=0.0288686 t=1073
gk 	事	c=2 d=0.011238 t=1073
gkp 	带	c=1 d=0.008271 t=1073
gmdh 	现在	c=1 d=0.571448 t=1073
gmf 	再	c=1 d=0.0141931 t=1073
gmq 	现	c=4 d=1.78352 t=1073
gmwh 	两个	c=2 d=0.532623 t=1073
gmww 	两	c=3 d=0.232756 t=1073
go 	来	c=1 d=0.0108347 t=1073
gqge 	列表	c=3 d=0.365911 t=1073
gu 	平	c=1 d=0.060205 t=1073
gyt 	班	c=1 d=0.045502 t=1073
h 	上	c=1 d=0.045275 t=1073
hhgy 	上班	c=1 d=0.113042 t=1073
hhwf 	上传	c=1 d=1 t=1
hk 	占	c=1 d=0.307279 t=1073
hko 	点	c=1 d=0.10435 t=1073
hxf 	些	c=1 d=0.00937227 t=1073
i 	不	c=1 d=0.995012 t=1073
iglk 	添加	c=1 d=0.913931 t=1073
ih 	小	c=3 d=2.48976 t=1073
ihoy 	小米	c=1 d=1 t=1073
iie 	消	c=1 d=0.14808 t=1073
iixj 	消费	c=2 d=0.39644 t=1073
ijtk 	温和	c=1 d=0.0443785 t=1073
ijx 	混	c=1 d=0.0448245 t=1073
im 	没	c=1 d=0.286505 t=1073
imc 	没	c=12 d=2.85729 t=1073
imde 	没有	c=3 d=0.980724 t=1073
imvg 	江山如画	c=1 d=0.0253494 t=1073
ina 	泯	c=1 d=0.037068 t=1073
ipet 	常用	c=1 d=0.0550232 t=1073
it 	少	c=1 d=0.0812682 t=1073
itny 	省心	c=1 d=0.062662 t=1073
iv 	当	c=1 d=0.806541 t=1073
j 	是	c=28 d=5.46997 t=1073
jbc 	最	c=1 d=0.0808629 t=1073
jf 	时	c=1 d=0.810584 t=1073
jfwh 	时候	c=2 d=0.136071 t=1073
jhyg 	申请	c=1 d=0.0464212 t=1073
jney 	电脑	c=3 d=0.200254 t=1073
jtrp 	监控	c=2 d=0.214502 t=1073
k 	中	c=2 d=0.918512 t=1073
ka 	呀	c=4 d=0.0997372 t=1073
kc 	吧	c=7 d=2.22022 t=1073
kcg 	吗	c=9 d=3.32972 t=1073
kkk 	品	c=1 d=0.0528657 t=1073
kldn 	嗯	c=2 d=0.0411354 t=1073
klj 	别	c=1 d=0.119433 t=1073
kn 	叫	c=1 d=0.0224829 t=1073
knx 	呢	c=2 d=0.0425673 t=1073
kr 	听	c=1 d=0.136014 t=1073
kth 	咱	c=1 d=0.00509243 t=1073
ktn 	吃	c=1 d=0.287941 t=1073
